name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
/atom/movable/plane_master_controller/non_master/proc/(init),<?.dm>,4294967295,781.0,0.000002,1,1052,1052,1052,0.000000
/atom/movable/proc/Moved,code/modules/movement/movement.dm,100,13302911.0,0.022397,1707,7793,1232,37340,5974.738931
/atom/movable/proc/afterShuttleMove,code/modules/shuttle/on_move.dm,116,8973668.0,0.015216,1041,8681,1874,456523,30027.969119
/atom/movable/proc/beforeShuttleMove,code/modules/shuttle/on_move.dm,99,267458.0,0.000449,1041,256,200,1132,90.162961
/atom/movable/proc/doMove,code/modules/movement/movement.dm,126,104907173.0,0.179757,24032,4442,691,57748,4557.575134
/atom/movable/proc/forceMove,code/modules/movement/movement.dm,110,31873491.0,0.053664,1707,18672,4990,56776,8103.243960
/atom/movable/proc/lateShuttleMove,code/modules/shuttle/on_move.dm,132,607714.0,0.001023,1041,583,451,1693,150.701989
/atom/movable/proc/moveToNullspace,code/modules/movement/movement.dm,122,85212080.0,0.147550,22325,3925,1032,58269,1843.417056
/atom/movable/proc/onShuttleMove,code/modules/shuttle/on_move.dm,103,1689240.0,0.003055,1041,1743,721,17513,1052.670850
/atom/movable/proc/onTransitZ,code/game/atoms_movable.dm,373,11533587.0,0.019674,3682,3173,571,454309,16459.297805
/atom/movable/proc/update_dynamic_luminosity,code/game/atoms_movable.dm,385,82401.0,0.000138,17,4837,3035,5460,535.334300
/atom/movable/screen/Destroy,code/_onclick/hud/map_popups.dm,45,46066890.0,0.078911,2834,16538,13696,43822,3310.780589
/atom/movable/screen/action_button/Destroy,code/_onclick/hud/screen_objects.dm,74,16918981.0,0.029052,886,19475,15529,45234,3528.117296
/atom/movable/screen/action_button/hide_toggle/proc/update_button_icon,code/_onclick/hud/screen_objects.dm,114,6181.0,0.000009,1,5531,5531,5531,0.000000
/atom/movable/screen/inventory/Initialize,code/_onclick/hud/screen_objects.dm,34,221672.0,0.000358,19,11187,9799,17773,2254.726616
/atom/movable/screen/plane_master/above_blackness/Initialize,code/_onclick/hud/rendering/plane_master.dm,76,1730989.0,0.002895,66,26049,18615,42330,5301.479200
/atom/movable/screen/plane_master/above_blackness_backdrop/Initialize,code/_onclick/hud/rendering/plane_master.dm,88,1320258.0,0.002195,66,19750,17243,26479,1905.091583
/atom/movable/screen/plane_master/emissive/Initialize,code/_onclick/hud/rendering/plane_master.dm,162,1161041.0,0.001972,66,17750,14867,29826,2564.950766
/atom/movable/screen/plane_master/lighting/Initialize,code/_onclick/hud/rendering/plane_master.dm,143,5873401.0,0.009993,132,44962,35717,72746,7813.750336
/atom/movable/screen/plane_master/open_space/Initialize,code/_onclick/hud/rendering/plane_master.dm,246,1433983.0,0.002414,77,18623,12874,35536,4038.555298
/atom/movable/screen/plane_master/open_space/New,code/_onclick/hud/rendering/plane_master.dm,239,2073674.0,0.003491,77,26930,18264,45565,5318.111133
/atom/movable/screen/plane_master/open_space/proc/add_filters,code/_onclick/hud/rendering/plane_master.dm,253,918566.0,0.001547,77,11929,7715,28182,3468.227404
/atom/movable/screen/plane_master/openspace_backdrop/Initialize,code/_onclick/hud/rendering/plane_master.dm,263,1209212.0,0.002036,66,18321,13926,31619,3189.546208
